group,task,draw,started,wiring,seeds,arms,borrowed,usable,reasons
essay/draw1,essay,1,2026-08-14 22:30:34,fixed,42,ABC,,True,
essay/draw2,essay,2,2026-08-17 19:31:19,fixed,43,ABC,,True,
essay/draw3,essay,3,2026-08-18 20:39:23,fixed,44,ABC,,True,
essay/draw4,essay,4,2026-08-25 01:59:47,fixed,45,ABC,,True,
essay/draw5,essay,5,2026-08-25 02:17:26,fixed,46,ABC,,True,
essay/draw6,essay,6,2026-08-29 08:44:28,fixed,48,ABC,,True,
essay/draw7,essay,7,2026-08-29 08:44:28,fixed,47,ABC,,True,
essay/draw8,essay,8,2026-09-03 00:51:01,fixed,49,AD,,True,
jigsaw/draw1,jigsaw,1,2026-08-07 05:41:11,legacy,42,AB,,False,arm_B=superseded(legacy_injection_wiring)
jigsaw/draw2,jigsaw,2,2026-08-08 00:38:20,legacy,43,AB,,False,arm_B=superseded(legacy_injection_wiring)
jigsaw/draw3,jigsaw,3,2026-08-09 22:44:37,legacy,44,AB,,False,arm_B=superseded(legacy_injection_wiring)
jigsaw/draw4,jigsaw,4,2026-08-12 22:30:18,fixed,42,ABC,A,True,
jigsaw/draw5,jigsaw,5,2026-08-13 21:58:54,fixed,43,ABC,A,True,
jigsaw/draw6,jigsaw,6,2026-08-14 20:12:38,fixed,44,ABC,A,True,
jigsaw/draw7,jigsaw,7,2026-08-23 08:33:46,fixed,45,ABC,,True,
jigsaw-unintended-bias-in-toxicity-classification/draw1,jigsaw-unintended-bias-in-toxicity-classification,1,2026-08-31 09:19:02,fixed,42,A,,False,only_1_arm
jigsaw-unintended-bias-in-toxicity-classification/draw2,jigsaw-unintended-bias-in-toxicity-classification,2,2026-09-01 00:31:06,fixed,43,A,,False,only_1_arm
jigsaw-unintended-bias-in-toxicity-classification/draw3,jigsaw-unintended-bias-in-toxicity-classification,3,2026-09-01 00:34:20,fixed,44,AB,,True,
jigsaw-unintended-bias-in-toxicity-classification/draw4,jigsaw-unintended-bias-in-toxicity-classification,4,2026-09-01 19:21:39,fixed,42,ABC,,True,
jigsaw-unintended-bias-in-toxicity-classification/draw5,jigsaw-unintended-bias-in-toxicity-classification,5,2026-09-03 22:50:58,fixed,"42,45",AD,A,True,
jigsaw-unintended-bias-in-toxicity-classification/draw6,jigsaw-unintended-bias-in-toxicity-classification,6,2026-09-05 00:49:17,fixed,47,A,,False,only_1_arm
jigsaw-unintended-bias-in-toxicity-classification/draw7,jigsaw-unintended-bias-in-toxicity-classification,7,2026-09-05 00:50:38,fixed,46,AD,,True,
jigsaw-unintended-bias-in-toxicity-classification/draw8,jigsaw-unintended-bias-in-toxicity-classification,8,2026-09-05 01:12:31,fixed,"43,45",AD,A,True,
jigsaw-unintended-bias-in-toxicity-classification/draw9,jigsaw-unintended-bias-in-toxicity-classification,9,2026-09-05 08:38:01,fixed,47,AD,A,True,
jigsaw-unintended-bias-in-toxicity-classification/draw10,jigsaw-unintended-bias-in-toxicity-classification,10,2026-09-07 19:59:42,fixed,48,AE,,True,
jigsaw-unintended-bias-in-toxicity-classification/draw11,jigsaw-unintended-bias-in-toxicity-classification,11,2026-09-07 20:06:56,fixed,50,AE,,True,
jigsaw-unintended-bias-in-toxicity-classification/draw12,jigsaw-unintended-bias-in-toxicity-classification,12,2026-09-07 20:11:03,fixed,"44,49",AE,A,True,
jigsaw-unintended-bias-in-toxicity-classification/draw13,jigsaw-unintended-bias-in-toxicity-classification,13,2026-09-10 02:24:14,fixed,53,AF,,True,
jigsaw-unintended-bias-in-toxicity-classification/draw14,jigsaw-unintended-bias-in-toxicity-classification,14,2026-09-10 02:29:43,fixed,52,AF,,True,
jigsaw-unintended-bias-in-toxicity-classification/draw15,jigsaw-unintended-bias-in-toxicity-classification,15,2026-09-10 02:36:29,fixed,"42,51",AF,A,True,
lmsys/draw1,lmsys,1,2026-08-16 04:34:35,fixed,42,AB,,True,
lmsys/draw2,lmsys,2,2026-08-17 02:21:01,fixed,42,ABC,,True,
lmsys/draw3,lmsys,3,2026-08-17 23:13:16,fixed,43,AB,,True,
lmsys/draw4,lmsys,4,2026-08-18 23:19:27,fixed,43,ABC,,True,
lmsys/draw5,lmsys,5,2026-08-23 08:55:36,fixed,44,AC,A,True,
lmsys/draw6,lmsys,6,2026-08-28 07:05:07,fixed,44,AB,,True,
openadmet/draw1,openadmet,1,2026-07-27 03:51:10,legacy,42,A,,False,only_1_arm
openadmet/draw2,openadmet,2,2026-07-29 09:51:32,legacy,42,AB,A,False,arm_B=superseded(legacy_injection_wiring)
openadmet/draw3,openadmet,3,2026-08-01 04:55:29,legacy,42,B,,False,only_1_arm;arm_B=superseded(legacy_injection_wiring)
openadmet/draw4,openadmet,4,2026-08-02 21:03:48,legacy,42,B,,False,only_1_arm;arm_B=superseded(legacy_injection_wiring)
spooky/draw1,spooky,1,2026-08-04 06:23:05,legacy,42,AB,A,False,arm_B=superseded(legacy_injection_wiring)
spooky/draw2,spooky,2,2026-08-04 18:14:06,legacy,42,A,,False,only_1_arm
