run,task,arm,node,stage,metric,is_buggy,technique,verdict,judge_error
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,0,draft,,True,Iterative text-word masking,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,0,draft,,True,Multiple-coder training data for toxicity,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,0,draft,,True,Image captions for targeted-harmful memes,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,0,draft,,True,Word-level token classification,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,0,draft,,True,Multimodal image-text modeling,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,0,draft,,True,Token-level slot labels as additional supervision,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,0,draft,,True,Fine-tuned CLIP multimodal encoder,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,0,draft,,True,Majority-voting conflict resolution,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,0,draft,,True,LLM-based toxic-word replacement,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,0,draft,,True,Cross-task label feature,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,0,draft,,True,Demographic-context features,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,0,draft,,True,Inline-text captions for dispirited-culture memes,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,1,draft,,True,Iterative text-word masking,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,1,draft,,True,Multiple-coder training data for toxicity,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,1,draft,,True,Image captions for targeted-harmful memes,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,1,draft,,True,Word-level token classification,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,1,draft,,True,Multimodal image-text modeling,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,1,draft,,True,Token-level slot labels as additional supervision,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,1,draft,,True,Fine-tuned CLIP multimodal encoder,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,1,draft,,True,Majority-voting conflict resolution,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,1,draft,,True,LLM-based toxic-word replacement,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,1,draft,,True,Cross-task label feature,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,1,draft,,True,Demographic-context features,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,1,draft,,True,Inline-text captions for dispirited-culture memes,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,2,debug,0.9382783915803884,False,Iterative text-word masking,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,2,debug,0.9382783915803884,False,Multiple-coder training data for toxicity,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,2,debug,0.9382783915803884,False,Image captions for targeted-harmful memes,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,2,debug,0.9382783915803884,False,Word-level token classification,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,2,debug,0.9382783915803884,False,Multimodal image-text modeling,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,2,debug,0.9382783915803884,False,Token-level slot labels as additional supervision,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,2,debug,0.9382783915803884,False,Fine-tuned CLIP multimodal encoder,none,
20260813_215854_jigsaw-kbimp-s43,jigsaw,C,2,debug,0.9382783915803884,False,Majority-voting conflict resolution,none,
